                   frame  Start Frame
    0.053 ms   100 cook  Forcing nodes to cook at start of frame
    0.005 ms  12333 cook    /local/time/clock (CHOP:null)
    0.016 ms  12333 cook     /local/time/scrubber (CHOP:switch)
    0.009 ms  12333 cook      /local/time/independent (CHOP:switch)
    0.016 ms  12333 cook       /local/time/cframe (CHOP:speed)
    0.003 ms  12333 cook    /sys/local/time/clock (CHOP:null)
    0.007 ms  12333 cook     /sys/local/time/scrubber (CHOP:switch)
    0.006 ms  12333 cook      /sys/local/time/independent (CHOP:switch)
    0.007 ms  12333 cook       /sys/local/time/hold1 (CHOP:hold)
    0.007 ms  12333 cook        /sys/local/time/syncframe (CHOP:limit)
    0.010 ms  12333 cook         /sys/local/time/math11 (CHOP:math)
    0.012 ms  12333 cook          /sys/local/time/math10 (CHOP:math)
    0.008 ms  12333 cook           /sys/local/time/resample2 (CHOP:resample)
    0.011 ms  12333 cook            /sys/local/time/time1 (CHOP:timeline)
    0.018 ms  12229 cook    /sys/TDDialogs/widgetEditorNew/chopexec1 (DAT:chopexec)
    0.025 ms  12229 cook     /sys/TDDialogs/widgetEditorNew/info1 (CHOP:info)
    0.003 ms  12331 cook    /ui/local/time/clock (CHOP:null)
    0.006 ms  12331 cook     /ui/local/time/scrubber (CHOP:switch)
    0.006 ms  12331 cook      /ui/local/time/independent (CHOP:switch)
    0.010 ms  12331 cook       /ui/local/time/cframe (CHOP:speed)
    0.008 ms  12331 cook    /ui/dialogs/mainmenu/lock (DAT:chopexec)
    0.010 ms  12331 cook     /ui/dialogs/mainmenu/perform2 (CHOP:perform)
    0.001 ms       misc   Start Global Maintenance
    0.003 ms       misc   Selective/Force Cook Check /transitions/null4 (CHOP:null)
    0.004 ms  12329 cook     /transitions/rename4 (CHOP:rename)
    0.005 ms  12329 cook      /transitions/transitionValueIn (CHOP:in)
    0.004 ms  12329 cook       /transitions/lookup1 (CHOP:lookup)
    0.009 ms  12329 cook        /transitions/select2 (CHOP:select)
    0.007 ms  12329 cook         /transitions/timer1 (CHOP:timer)
    0.002 ms       misc   Selective/Force Cook Check /Sourcerer/transitions/null4 (CHOP:null)
    0.003 ms  12330 cook     /Sourcerer/transitions/rename4 (CHOP:rename)
    0.003 ms  12330 cook      /Sourcerer/transitions/transitionValueIn (CHOP:in)
    0.004 ms  12330 cook       /Sourcerer/transitions/lookup1 (CHOP:lookup)
    0.006 ms  12330 cook        /Sourcerer/transitions/select2 (CHOP:select)
    0.004 ms  12330 cook         /Sourcerer/transitions/timer1 (CHOP:timer)
    0.003 ms       misc   Selective/Force Cook Check /Sourcerer/defaultSource/null1 (CHOP:null)
    0.014 ms  12330 cook     /Sourcerer/defaultSource/logic4 (CHOP:logic)
